AÑO;MES;DIA;REGION;COMUNA;TOTAL
2021;5;14;I Región de Tarapacá;IQUIQUE;7
2021;3;23;I Región de Tarapacá;HUARA;1
2021;5;4;I Región de Tarapacá;IQUIQUE;9
2021;9;13;I Región de Tarapacá;IQUIQUE;28
2021;9;29;I Región de Tarapacá;IQUIQUE;9
2021;10;12;I Región de Tarapacá;IQUIQUE;33
2021;5;10;I Región de Tarapacá;IQUIQUE;19
2021;1;18;I Región de Tarapacá;IQUIQUE;20
2021;3;18;II Región de Antofagasta;TOCOPILLA;1
2021;2;9;II Región de Antofagasta;TOCOPILLA;1
2021;6;11;II Región de Antofagasta;CALAMA;6
2021;6;16;II Región de Antofagasta;CALAMA;5
2021;8;3;II Región de Antofagasta;ANTOFAGASTA;15
2021;5;17;II Región de Antofagasta;ANTOFAGASTA;24
2021;5;5;II Región de Antofagasta;CALAMA;4
2021;9;7;II Región de Antofagasta;CALAMA;8
2021;5;12;II Región de Antofagasta;TOCOPILLA;2
2021;8;26;II Región de Antofagasta;CALAMA;11
2021;10;18;II Región de Antofagasta;ANTOFAGASTA;30
2021;10;28;II Región de Antofagasta;ANTOFAGASTA;24
2021;8;27;II Región de Antofagasta;ANTOFAGASTA;11
2021;7;19;II Región de Antofagasta;CALAMA;14
2021;10;6;II Región de Antofagasta;ANTOFAGASTA;21
2021;8;13;II Región de Antofagasta;CALAMA;9
2021;10;6;II Región de Antofagasta;TOCOPILLA;1
2021;6;9;II Región de Antofagasta;CALAMA;4
2021;1;8;II Región de Antofagasta;ANTOFAGASTA;18
2021;6;7;II Región de Antofagasta;CALAMA;10
2021;9;30;II Región de Antofagasta;CALAMA;3
2021;8;19;II Región de Antofagasta;CALAMA;5
2021;12;20;II Región de Antofagasta;TOCOPILLA;2
2021;1;20;II Región de Antofagasta;SAN PEDRO DE ATACAMA;1
2021;8;9;II Región de Antofagasta;ANTOFAGASTA;29
2021;6;15;II Región de Antofagasta;CALAMA;4
2021;4;7;II Región de Antofagasta;CALAMA;6
2021;8;9;II Región de Antofagasta;MEJILLONES;1
2021;3;4;II Región de Antofagasta;CALAMA;6
2021;3;23;II Región de Antofagasta;ANTOFAGASTA;17
2021;5;4;II Región de Antofagasta;ANTOFAGASTA;14
2021;9;13;II Región de Antofagasta;ANTOFAGASTA;35
2021;10;26;II Región de Antofagasta;ANTOFAGASTA;16
2021;1;12;II Región de Antofagasta;ANTOFAGASTA;27
2021;8;20;II Región de Antofagasta;SAN PEDRO DE ATACAMA;1
2021;8;6;II Región de Antofagasta;ANTOFAGASTA;16
2021;2;11;II Región de Antofagasta;ANTOFAGASTA;6
2021;3;3;II Región de Antofagasta;ANTOFAGASTA;19
2021;1;18;II Región de Antofagasta;ANTOFAGASTA;25
2021;2;1;II Región de Antofagasta;TOCOPILLA;2
2021;7;21;II Región de Antofagasta;ANTOFAGASTA;20
2021;11;17;II Región de Antofagasta;ANTOFAGASTA;17
2021;9;15;II Región de Antofagasta;ANTOFAGASTA;20
2021;8;24;II Región de Antofagasta;CALAMA;7
2021;5;26;II Región de Antofagasta;SAN PEDRO DE ATACAMA;1
2021;5;14;II Región de Antofagasta;CALAMA;7
2021;9;28;II Región de Antofagasta;CALAMA;4
2021;10;14;II Región de Antofagasta;ANTOFAGASTA;15
2021;2;10;II Región de Antofagasta;ANTOFAGASTA;13
2021;7;2;II Región de Antofagasta;CALAMA;3
2021;1;15;II Región de Antofagasta;ANTOFAGASTA;13
2021;6;8;II Región de Antofagasta;TOCOPILLA;1
2021;6;24;II Región de Antofagasta;MEJILLONES;1
2021;7;27;II Región de Antofagasta;CALAMA;7
2021;6;14;II Región de Antofagasta;CALAMA;16
2021;11;16;II Región de Antofagasta;CALAMA;6
2021;8;18;II Región de Antofagasta;TOCOPILLA;2
2021;11;19;II Región de Antofagasta;ANTOFAGASTA;19
2021;10;25;II Región de Antofagasta;CALAMA;17
2021;12;31;II Región de Antofagasta;ANTOFAGASTA;10
2021;5;31;II Región de Antofagasta;ANTOFAGASTA;29
2021;12;6;II Región de Antofagasta;ANTOFAGASTA;22
2021;10;8;II Región de Antofagasta;ANTOFAGASTA;22
2021;2;24;II Región de Antofagasta;ANTOFAGASTA;20
2021;7;6;II Región de Antofagasta;CALAMA;8
2021;8;17;II Región de Antofagasta;CALAMA;4
2021;4;22;II Región de Antofagasta;ANTOFAGASTA;15
2021;5;27;II Región de Antofagasta;CALAMA;7
2021;1;29;II Región de Antofagasta;CALAMA;7
2021;12;27;II Región de Antofagasta;CALAMA;19
2021;11;18;II Región de Antofagasta;CALAMA;5
2021;10;4;II Región de Antofagasta;ANTOFAGASTA;37
2021;10;7;II Región de Antofagasta;ANTOFAGASTA;17
2021;7;30;II Región de Antofagasta;ANTOFAGASTA;15
2021;3;9;II Región de Antofagasta;TOCOPILLA;2
2021;8;23;II Región de Antofagasta;MEJILLONES;1
2021;6;17;II Región de Antofagasta;ANTOFAGASTA;12
2021;8;4;II Región de Antofagasta;ANTOFAGASTA;8
2021;2;4;II Región de Antofagasta;CALAMA;5
2021;5;17;II Región de Antofagasta;TOCOPILLA;1
2021;12;21;II Región de Antofagasta;ANTOFAGASTA;19
2021;1;28;II Región de Antofagasta;CALAMA;6
2021;7;8;II Región de Antofagasta;ANTOFAGASTA;15
2021;3;30;II Región de Antofagasta;CALAMA;3
2021;10;18;II Región de Antofagasta;CALAMA;16
2021;10;28;II Región de Antofagasta;CALAMA;7
2021;3;1;II Región de Antofagasta;CALAMA;11
2021;1;14;II Región de Antofagasta;ANTOFAGASTA;15
2021;6;7;II Región de Antofagasta;TOCOPILLA;1
2021;10;1;II Región de Antofagasta;ANTOFAGASTA;13
2021;8;20;II Región de Antofagasta;CALAMA;3
2021;11;22;II Región de Antofagasta;CALAMA;13
2021;6;11;II Región de Antofagasta;ANTOFAGASTA;21
2021;11;15;II Región de Antofagasta;CALAMA;15
2021;10;6;II Región de Antofagasta;CALAMA;8
2021;5;19;II Región de Antofagasta;CALAMA;5
2021;1;19;II Región de Antofagasta;CALAMA;11
2021;6;16;II Región de Antofagasta;ANTOFAGASTA;29
2021;3;12;II Región de Antofagasta;ANTOFAGASTA;18
2021;9;9;II Región de Antofagasta;ANTOFAGASTA;16
2021;11;15;II Región de Antofagasta;TALTAL;1
2021;6;30;II Región de Antofagasta;CALAMA;5
2021;5;5;II Región de Antofagasta;ANTOFAGASTA;13
2021;9;7;II Región de Antofagasta;ANTOFAGASTA;10
2021;5;20;II Región de Antofagasta;CALAMA;3
2021;10;22;II Región de Antofagasta;TOCOPILLA;1
2021;5;26;II Región de Antofagasta;CALAMA;9
2021;6;10;II Región de Antofagasta;CALAMA;9
2021;11;5;II Región de Antofagasta;CALAMA;5
2021;7;19;II Región de Antofagasta;ANTOFAGASTA;41
2021;3;23;II Región de Antofagasta;CALAMA;16
2021;3;16;II Región de Antofagasta;CALAMA;9
2021;12;24;II Región de Antofagasta;TOCOPILLA;1
2021;1;7;II Región de Antofagasta;CALAMA;4
2021;11;17;II Región de Antofagasta;TOCOPILLA;1
2021;2;25;II Región de Antofagasta;CALAMA;2
2021;8;13;II Región de Antofagasta;ANTOFAGASTA;16
2021;9;16;II Región de Antofagasta;ANTOFAGASTA;14
2021;2;3;II Región de Antofagasta;ANTOFAGASTA;9
